Rank,Name,Height ft(m),Floors,Use,Year,Coordinates,Latitude,Longitude
1,Salesforce Tower,"1,070 (326)",61,Office,2018,37.7899°N 122.3969°W,37.7899,-122.3969
2,Transamerica Pyramid,853 (260),48,Office,1972,37°47′42.72″N 122°24′10.08″W,37.7952,-122.4028
3,181 Fremont,803 (245),56,"Office, Residential",2017,37.78970°N 122.39535°W,37.7897,-122.39535
4,555 California Street,779 (237),52,Office,1969,37°47′30.84″N 122°24′13.68″W,37.791,-122.4038
5,2700 Sloat Boulevard,735 (224),50,Residential,2024,37°73′59.75″N 122°50′36.22″W,37.7952,-122.4028
6,345 California Center,721 (220),48,"Hotel, Office",1986,37°47′33.00″N 122°24′1.80″W,37.7925,-122.4005
7,Millennium Tower,645 (197),58,Residential,2009,37°47′25.44″N 122°23′45.96″W,37.7904,-122.3961
8,One Rincon Hill,641 (195),60,Residential,2008,37°47′8.8″N 122°23′31.7″W,37.7853,-122.391
9,The Avery,618 (188),56,Residential,2019,37°47′16″N 122°23′39″W,37.7878,-122.3942
10,Park Tower at Transbay,605 (184),43,Office,2018,37°47′25″N 122°23′39″W,37.7903,-122.3942
11,Salesforce West,600 (183),43,Office,1985,37°47′25.7″N 122°23′50.1″W,37.7905,-122.3961
12,575 Market Street Tower at Market Center,573 (175),40,Office,1975,37°47′22.38″N 122°24′1.08″W,37.789,-122.4003
13,Four Embarcadero Center,571 (174),45,Office,1982,37°47′42.72″N 122°23′45.96″W,37.7952,-122.3961
14,One Embarcadero Center,568 (173),45,Office,1971,37°47′40.2″N 122°23′58.92″W,37.7945,-122.3997
15,44 Montgomery Street,565 (172),43,Office,1967,37°47′23.28″N 122°24′6.48″W,37.7898,-122.4025
16,Spear Tower at One Market Plaza,564 (172),43,Office,1976,37°47′35.84″N 122°23′40.27″W,37.7933,-122.3945
17,One Sansome Street,550 (168),41,Office,1984,37°47′25.5″N 122°24′4.6″W,37.7904,-122.4013
18,The Harrison,541 (165),49,Residential,2014,37°47′11.04″N 122°23′31.44″W,37.7865,-122.3916
19,One Front Street,538 (164),38,Office,1979,37°47′30.5″N 122°23′55.7″W,37.7912,-122.3988
20,First Market Tower,528 (161),39,Office,1973,37°47′25.80″N 122°23′56.76″W,37.7905,-122.3991
21,425 Market Street,520 (158),38,Office,1973,37°47′27.96″N 122°23′53.16″W,37.7911,-122.3976
22,Four Seasons Private Residences at 706 Mission Street,510 (155),43,"Residential, Museum",2020,37°47′10″N 122°24′9″W,37.7861,-122.4025
23,One Montgomery Tower,500 (152),38,Office,1982,37°47′20.76″N 122°24′11.88″W,37.7891,-122.4033
24,333 Bush Street,495 (151),43,"Office, Residential",1986,37°47′26.16″N 122°24′10.80″W,37.7906,-122.4024
25,Hilton San Francisco Tower I,493 (150),46,Hotel,1971,37°47′7.08″N 122°24′39.24″W,37.7853,-122.4109
26,Pacific Gas & Electric Building,493 (150),34,Office,1971,37°47′29.76″N 122°23′44.88″W,37.791,-122.3963
27,50 California Street,487 (148),37,Office,1972,37°47′38.40″N 122°23′50.64″W,37.7934,-122.3975
28,St. Regis Museum Tower,484 (148),42,"Hotel, Residential",2005,37°47′10.68″N 122°24′4.68″W,37.7863,-122.4013
29,100 Pine Center,476 (145),33,Office,1972,37°47′33.32″N 122°23′56.21″W,37.7926,-122.399
30,333 Market Street,472 (144),33,Office,1979,37°47′30.98″N 122°23′51.00″W,37.791,-122.3964
31,650 California Street,466 (142),34,Office,1964,37°47′34.2″N 122°24′18.7″W,37.7928,-122.4052
32,LUMINA I,450 (137),43,Residential,2015,37°47′19.30″N 122°23′31.99″W,37.7887,-122.3922
33,100 First Plaza,447 (136),27,Office,1988,37°47′21.0″N 122°23′51.0″W,37.7892,-122.3964
34,340 Fremont Street,440 (134),40,Residential,2016,37°47′13.23″N 122°23′33.86″W,37.7862,-122.3927
35,One California,438 (134),32,Office,1969,37°47′35.52″N 122°23′49.92″W,37.7932,-122.3961
36,San Francisco Marriott Marquis,436 (133),39,Hotel,1989,37°47′5.64″N 122°24′15.48″W,37.7854,-122.4043
37,Russ Building,435 (133),32,Office,1927,37°47′28.32″N 122°24′10.08″W,37.7912,-122.4025
38,Jasper,430 (131),39,Residential,2015,37°47′9.19″N 122°23′37.61″W,37.786,-122.3937
39,MIRA,422 (129),39,Residential,2020,37°47′23.9″N 122°23′30.0″W,37.7899,-122.3917
40,The Infinity II,420 (128),41,Residential,2009,37°47′21.76″N 122°23′26.39″W,37.7893,-122.3906
41,Providian Financial Building,417 (127),30,Office,1981,37°47′28.40″N 122°23′42.16″W,37.7913,-122.3956
42,Three Embarcadero Center,413 (126),31,Office,1977,37°47′42.5″N 122°23′50.5″W,37.7952,-122.3962
43,595 Market Street,410 (125),30,Office,1979,37°47′21.31″N 122°24′2.92″W,37.7893,-122.4008
44,123 Mission Street,407 (124),29,Office,1986,37°47′30.84″N 122°23′40.20″W,37.791,-122.3945
45,101 Montgomery,404 (123),28,Office,1984,37°47′25.44″N 122°24′8.64″W,37.7904,-122.4024
46,100 Van Ness Avenue,400 (122),29,Residential,1974,37°46′36.2″N 122°25′09.1″W,37.7767,-122.4192